query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
10,How many rows have tau1 equal to 5.099?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 22.14.""","""The result is 12.0.""","""The result is [DP]0.0007[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0061[/DP].""","""The result is [DP]0.2482[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0005[/DP]."""
11,How many rows have tau3 greater than 4.178?,0.1,"""6129""","""6129""","""6129""","""6129""","""6129""","""999.9999""","""0.0""","""999.9996""","""994.7513""","""nan""","""999.9996"""
12,How many rows have g1 less than 0.106?,0.1,"""590""","""590""","""590""","""590""","""590""","""970.388""","""898.2841""","""502.3391""","""1000.0""","""nan""","""799.1736"""
13,How many rows have p4 greater than -1.78?,0.4216476246561033,"""The result is [DP]8533[/DP].""","""The result is 8534.55.""","""The result is 8533.0.""","""The result is 8520.2.""","""The result is 8551.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]611.7711[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
14,How many rows have g2 equal to 0.629?,1.1038400552956573,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 6.63.""","""The result is 0.""","""The result is [DP]0.0536[/DP].""","""The result is [DP]884.7688[/DP].""","""The result is [DP]0.0196[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0001[/DP]."""
15,How many rows have tau2 equal to 7.637?,0.918142078633442,"""The result is [DP]0[/DP].""","""The result is 1.01.""","""The result is 0.""","""The result is 1.57.""","""The result is 4.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0006[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0002[/DP]."""
16,How many rows have g3 less than 0.552?,0.5370197253372814,"""5285""","""5285""","""5285""","""5285""","""5285""","""999.9591""","""0.0""","""999.9978""","""1000.0""","""406.9244""","""999.9531"""
17,How many rows have tau2 greater than 2.462?,1.350541224549904,"""7935""","""7935""","""7935""","""7935""","""7935""","""317.5103""","""760.5555""","""999.9995""","""343.1088""","""nan""","""999.966"""
18,How many rows have p3 equal to -1.263?,0.21977188989255456,"""The result is [DP]0[/DP].""","""The result is 0.13.""","""The result is 0.""","""The result is 0.""","""The result is 12.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.002[/DP].""","""The result is [DP]0.1668[/DP].""","""The result is [DP]573.159[/DP].""","""The result is [DP]0.0001[/DP]."""
19,How many rows have g4 greater than 0.276?,0.1,"""The result is [DP]7621[/DP].""","""The result is 7622.75.""","""The result is 7621.0.""","""The result is 7652.13.""","""The result is 7638.0.""","""The result is [DP]999.9652[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]999.9996[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9971[/DP]."""
20,How many rows have tau4 equal to 1.844?,0.1,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 38.36.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]0.0162[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0102[/DP]."""
21,How many rows have p3 equal to -0.628?,0.9181457884751146,"""0""","""0""","""0""","""0""","""0""","""0.1912""","""nan""","""0.0001""","""0.0""","""nan""","""0.0114"""
22,How many rows have p1 equal to 3.347?,0.7715746304029494,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 8.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0012[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0005[/DP]."""
23,How many rows have tau1 greater than 8.473?,0.9181457884751146,"""The result is [DP]1608[/DP].""","""The result is 1607.51.""","""The result is 1608.0.""","""The result is 1603.24.""","""The result is 1610.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.999[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
24,How many rows have g4 greater than 0.801?,0.25312319302722175,"""The result is [DP]2094[/DP].""","""The result is 2105.9.""","""The result is 2094.0.""","""The result is 2086.16.""","""The result is 2091.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9958[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP]."""
25,How many rows have p2 less than -1.058?,0.4216476246561033,"""The result is [DP]6280[/DP].""","""The result is 6281.5.""","""The result is 6277.0.""","""The result is 6282.5.""","""The result is 6284.0.""","""The result is [DP]999.9617[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.998[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]608.4021[/DP].""","""The result is [DP]999.9988[/DP]."""
26,How many rows have p4 greater than -0.945?,0.18273699254356746,"""The result is [DP]2966[/DP].""","""The result is 3001.18.""","""The result is 2966.0.""","""The result is 2910.58.""","""The result is 2987.0.""","""The result is [DP]999.9891[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.997[/DP].""","""The result is [DP]999.822[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1000.0[/DP]."""
27,How many rows have p3 equal to -1.85?,0.25312319302722175,"""The result is [DP]0[/DP].""","""The result is 0.9.""","""The result is 0.""","""The result is 3.35.""","""The result is 21.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0022[/DP].""","""The result is [DP]911.2935[/DP].""","""The result is [DP]642.8573[/DP].""","""The result is [DP]0.0286[/DP]."""
28,How many rows have g2 greater than 0.085?,0.21977188989255456,"""The result is [DP]9632[/DP].""","""The result is 9632.16.""","""The result is 9632.0.""","""The result is 9618.14.""","""The result is 9647.0.""","""The result is [DP]999.3233[/DP].""","""The result is [DP]330.0488[/DP].""","""The result is [DP]999.9972[/DP].""","""The result is [DP]994.1533[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP]."""
29,How many rows have p2 less than -1.254?,1.350541224549904,"""The result is [DP]4974[/DP].""","""The result is 4972.77.""","""The result is 4979.0.""","""The result is 4972.4.""","""The result is 4969.0.""","""The result is [DP]997.1266[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9989[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.952[/DP]."""
30,How many rows have tau3 equal to 4.046?,0.1,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 1.0.""","""The result is [DP]124.8289[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0012[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0016[/DP]."""
31,How many rows have p1 equal to 3.552?,1.0368546195518356,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 13.59.""","""The result is 4.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.2313[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0005[/DP]."""
32,How many rows have g4 equal to 0.171?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 13.07.""","""The result is 0.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0051[/DP].""","""The result is [DP]4.0589[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0078[/DP]."""
33,How many rows have p4 greater than -0.625?,1.0368546195518356,"""The result is [DP]833[/DP].""","""The result is 832.59.""","""The result is 830.0.""","""The result is 837.34.""","""The result is 834.0.""","""The result is [DP]995.9067[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]739.6164[/DP].""","""The result is [DP]999.9882[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]475.208[/DP]."""
34,How many rows have tau2 equal to 1.094?,0.18273699254356746,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 18.07.""","""The result is 0.""","""The result is [DP]0.0002[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0056[/DP].""","""The result is [DP]0.0009[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0003[/DP]."""
35,How many rows have p1 equal to 4.204?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 3.07.""","""The result is 0.""","""The result is 9.87.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]0.0338[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
36,How many rows have p2 greater than -1.637?,0.45188719028566016,"""The result is [DP]7580[/DP].""","""The result is 7577.71.""","""The result is 7580.0.""","""The result is 7580.82.""","""The result is 7572.0.""","""The result is [DP]999.9988[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]999.9995[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9763[/DP]."""
37,How many rows have g1 equal to 0.198?,0.21977188989255456,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 12.69.""","""The result is 15.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]462.4767[/DP].""","""The result is [DP]0.0074[/DP].""","""The result is [DP]88.421[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0419[/DP]."""
38,How many rows have tau4 equal to 6.863?,0.23211822891717815,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 13.32.""","""The result is 0.""","""The result is [DP]4.3497[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0005[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]883.1948[/DP].""","""The result is [DP]0.0008[/DP]."""
39,How many rows have tau3 equal to 6.897?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 1.45.""","""The result is 2.0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.2286[/DP].""","""The result is [DP]268.2867[/DP].""","""The result is [DP]0.005[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0007[/DP]."""
40,How many rows have g4 greater than 0.632?,0.9145856197269706,"""The result is [DP]3874[/DP].""","""The result is 3873.23.""","""The result is 3871.0.""","""The result is 3872.02.""","""The result is 3871.0.""","""The result is [DP]999.9958[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9995[/DP].""","""The result is [DP]947.3057[/DP].""","""The result is [DP]387.1245[/DP].""","""The result is [DP]999.9809[/DP]."""
41,How many rows have tau1 equal to 8.694?,0.5370197253372814,"""0""","""0""","""0""","""0""","""0""","""0.0""","""nan""","""0.002""","""0.0""","""nan""","""0.0033"""
42,How many rows have g2 less than 0.509?,0.21977188989255456,"""The result is [DP]4832[/DP].""","""The result is 4824.82.""","""The result is 4832.0.""","""The result is 4821.54.""","""The result is 4860.0.""","""The result is [DP]999.9897[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9971[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]856.0751[/DP].""","""The result is [DP]999.9997[/DP]."""
43,How many rows have p2 equal to -1.276?,0.45188719028566016,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.67.""","""The result is 0.""","""The result is [DP]0.0675[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0051[/DP].""","""The result is [DP]1.1133[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0066[/DP]."""
44,How many rows have tau1 equal to 3.756?,0.9181457884751146,"""0""","""0""","""0""","""0""","""0""","""0.0095""","""nan""","""0.0005""","""0.0004""","""nan""","""0.0384"""
45,How many rows have tau4 less than 6.911?,0.23211822891717815,"""The result is [DP]6748[/DP].""","""The result is 6748.22.""","""The result is 6748.0.""","""The result is 6784.96.""","""The result is 6754.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9969[/DP].""","""The result is [DP]16.9075[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9907[/DP]."""
46,How many rows have tau2 less than 3.838?,0.45188719028566016,"""The result is [DP]3514[/DP].""","""The result is 3510.62.""","""The result is 3514.0.""","""The result is 3522.89.""","""The result is 3518.0.""","""The result is [DP]999.9986[/DP].""","""The result is [DP]617.8404[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]999.7001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9908[/DP]."""
47,How many rows have p1 less than 3.874?,0.8993786248373329,"""The result is [DP]5618[/DP].""","""The result is 5617.64.""","""The result is 5618.0.""","""The result is 5619.9.""","""The result is 5620.0.""","""The result is [DP]999.9998[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
48,How many rows have p1 equal to 3.372?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 2.0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0018[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0009[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.003[/DP]."""
49,How many rows have g4 greater than 0.649?,0.18273699254356746,"""The result is [DP]3695[/DP].""","""The result is 3700.87.""","""The result is 3695.0.""","""The result is 3674.78.""","""The result is 3701.0.""","""The result is [DP]999.9985[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9996[/DP].""","""The result is [DP]827.309[/DP].""","""The result is [DP]914.1961[/DP].""","""The result is [DP]999.9984[/DP]."""
50,How many rows have g3 equal to 0.651?,0.918142078633442,"""The result is [DP]0[/DP].""","""The result is 1.09.""","""The result is 0.""","""The result is 5.16.""","""The result is 1.0.""","""The result is [DP]0.0006[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
51,How many rows have p2 less than -0.873?,1.0368546195518356,"""The result is [DP]7513[/DP].""","""The result is 7512.75.""","""The result is 7513.0.""","""The result is 7501.02.""","""The result is 7509.0.""","""The result is [DP]999.9952[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9957[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9998[/DP]."""
52,How many rows have g3 less than 0.378?,0.18273699254356746,"""The result is [DP]3453[/DP].""","""The result is 3440.98.""","""The result is 3453.0.""","""The result is 3408.47.""","""The result is 3429.0.""","""The result is [DP]999.9652[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
53,How many rows have p3 equal to -1.251?,1.350541224549904,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 5.05.""","""The result is 0.""","""The result is [DP]996.9968[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0046[/DP]."""
54,How many rows have tau3 less than 2.046?,0.45188719028566016,"""1627""","""1627""","""1627""","""1627""","""1627""","""352.174""","""0.0""","""999.9999""","""999.9995""","""0.0""","""999.9855"""
55,How many rows have tau4 equal to 4.896?,0.8617224173568258,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 1.0.""","""The result is 0.""","""The result is 2.0.""","""The result is [DP]0.0004[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0089[/DP].""","""The result is [DP]856.5544[/DP].""","""The result is [DP]417.3132[/DP].""","""The result is [DP]0.0029[/DP]."""
56,How many rows have tau2 greater than 8.73?,0.18273699254356746,"""The result is [DP]1337[/DP].""","""The result is 1338.85.""","""The result is 1337.0.""","""The result is 1379.53.""","""The result is 1363.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9994[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9996[/DP]."""
57,How many rows have p1 greater than 4.405?,1.350541224549904,"""The result is [DP]2029[/DP].""","""The result is 2029.82.""","""The result is 2029.0.""","""The result is 2031.3.""","""The result is 2030.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9924[/DP].""","""The result is [DP]622.3317[/DP].""","""The result is [DP]784.4907[/DP].""","""The result is [DP]999.9997[/DP]."""
58,How many rows have tau1 equal to 5.798?,0.9145856197269706,"""0""","""0""","""0""","""0""","""0""","""0.0""","""0.0""","""0.0281""","""0.7624""","""nan""","""0.0009"""
59,How many rows have tau2 less than 5.047?,0.794007125837763,"""The result is [DP]4787[/DP].""","""The result is 4788.37.""","""The result is 4788.0.""","""The result is 4783.51.""","""The result is 4782.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9992[/DP].""","""The result is [DP]999.9939[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9994[/DP]."""
60,How many rows have g2 greater than 0.468?,1.1038400552956573,"""The result is [DP]5600[/DP].""","""The result is 5599.26.""","""The result is 5601.0.""","""The result is 5599.38.""","""The result is 5601.0.""","""The result is [DP]999.9995[/DP].""","""The result is [DP]701.3372[/DP].""","""The result is [DP]999.9993[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9549[/DP]."""
61,How many rows have p3 equal to -1.576?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 5.0.""","""The result is 7.0.""","""The result is [DP]0.0005[/DP].""","""The result is [DP]311.6703[/DP].""","""The result is [DP]0.0005[/DP].""","""The result is [DP]541.609[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0019[/DP]."""
62,How many rows have p4 greater than -1.874?,0.5226303807974494,"""9160""","""9160""","""9160""","""9160""","""9160""","""1000.0""","""868.2553""","""999.9962""","""999.9983""","""820.4171""","""999.9993"""
63,How many rows have p4 less than -1.18?,0.9189598761607718,"""The result is [DP]5467[/DP].""","""The result is 5468.54.""","""The result is 5465.0.""","""The result is 5471.33.""","""The result is 5470.0.""","""The result is [DP]999.6467[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9989[/DP]."""
64,How many rows have p4 greater than -1.849?,0.8993786248373329,"""The result is [DP]8993[/DP].""","""The result is 8991.82.""","""The result is 8994.0.""","""The result is 8999.57.""","""The result is 9001.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]465.1176[/DP].""","""The result is [DP]999.9975[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1000.0[/DP]."""
65,How many rows have g4 equal to 0.421?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 1.71.""","""The result is 0.""","""The result is 5.51.""","""The result is 0.""","""The result is [DP]0.0003[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0008[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0001[/DP]."""
66,How many rows have g1 greater than 0.868?,0.9145856197269706,"""The result is [DP]1389[/DP].""","""The result is 1388.82.""","""The result is 1388.0.""","""The result is 1384.19.""","""The result is 1390.0.""","""The result is [DP]662.1784[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9934[/DP].""","""The result is [DP]95.2289[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.999[/DP]."""
67,How many rows have tau4 equal to 9.807?,1.350541224549904,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 3.31.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0031[/DP].""","""The result is [DP]0.3817[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.018[/DP]."""
68,How many rows have tau1 greater than 6.119?,0.5226303807974494,"""4085""","""4085""","""4085""","""4085""","""4085""","""999.9799""","""0.0""","""999.9999""","""1000.0""","""nan""","""999.9999"""
69,How many rows have tau3 greater than 6.356?,0.8993786248373329,"""3835""","""3835""","""3835""","""3835""","""3835""","""999.2046""","""0.0""","""999.9985""","""1000.0""","""0.0""","""999.9997"""
70,How many rows have tau4 equal to 3.878?,0.7715746304029494,"""The result is [DP]0[/DP].""","""The result is 0.14.""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0283[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0263[/DP]."""
71,How many rows have tau3 less than 1.452?,0.23211822891717815,"""The result is [DP]1002[/DP].""","""The result is 1002.57.""","""The result is 1002.0.""","""The result is 999.92.""","""The result is 1009.0.""","""The result is [DP]999.9997[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]978.1009[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9969[/DP]."""
72,How many rows have g4 less than 0.915?,0.18273699254356746,"""The result is [DP]9106[/DP].""","""The result is 9104.19.""","""The result is 9105.0.""","""The result is 9092.0.""","""The result is 9080.0.""","""The result is [DP]999.9988[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9953[/DP].""","""The result is [DP]999.9794[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP]."""
73,How many rows have p1 less than 4.294?,0.9145856197269706,"""The result is [DP]7548[/DP].""","""The result is 7547.13.""","""The result is 7551.0.""","""The result is 7547.55.""","""The result is 7550.0.""","""The result is [DP]665.1527[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9968[/DP].""","""The result is [DP]998.8749[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9998[/DP]."""
74,How many rows have p3 less than -1.386?,0.1,"""The result is [DP]4094[/DP].""","""The result is 4092.31.""","""The result is 4094.0.""","""The result is 4149.3.""","""The result is 4103.0.""","""The result is [DP]999.6567[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9941[/DP].""","""The result is [DP]999.9692[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9996[/DP]."""
75,How many rows have p3 equal to -1.031?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 15.16.""","""The result is 0.""","""The result is 4.34.""","""The result is 0.""","""The result is [DP]0.0031[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
