query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
12,How many rows have g1 less than 0.106?,0.5370197253372814,"""The result is [DP]590[/DP].""","""The result is 588.91.""","""The result is 590.0.""","""The result is 580.07.""","""The result is 590.0.""","""The result is [DP]0.0073[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]108.4804[/DP].""","""The result is [DP]999.9993[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]71.0372[/DP]."""
13,How many rows have p4 greater than -1.78?,0.25312319302722175,"""The result is [DP]8533[/DP].""","""The result is 8533.15.""","""The result is 8533.0.""","""The result is 8523.18.""","""The result is 8558.0.""","""The result is [DP]999.998[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9985[/DP].""","""The result is [DP]597.5031[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9995[/DP]."""
14,How many rows have g2 equal to 0.629?,1.0368546195518356,"""The result is [DP]0[/DP].""","""The result is 1.79.""","""The result is 0.""","""The result is 2.61.""","""The result is 0.""","""The result is [DP]0.0277[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0011[/DP]."""
15,How many rows have tau2 equal to 7.637?,0.18273699254356746,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 27.54.""","""The result is 34.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0097[/DP]."""
16,How many rows have g3 less than 0.552?,0.5226303807974494,"""The result is [DP]5285[/DP].""","""The result is 5285.76.""","""The result is 5285.0.""","""The result is 5292.86.""","""The result is 5283.0.""","""The result is [DP]999.9945[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9964[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]960.6053[/DP].""","""The result is [DP]1000.0[/DP]."""
17,How many rows have tau2 greater than 2.462?,0.25312319302722175,"""7935""","""7935""","""7935""","""7935""","""7935""","""1000.0""","""0.0""","""999.9977""","""1000.0""","""0.0""","""999.9739"""
18,How many rows have p3 equal to -1.263?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 0.39.""","""The result is 0.""","""The result is 20.45.""","""The result is 2.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0112[/DP].""","""The result is [DP]856.0884[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0316[/DP]."""
19,How many rows have g4 greater than 0.276?,0.9145856197269706,"""The result is [DP]7621[/DP].""","""The result is 7622.35.""","""The result is 7618.0.""","""The result is 7621.98.""","""The result is 7619.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9925[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9973[/DP]."""
20,How many rows have tau4 equal to 1.844?,0.18273699254356746,"""The result is [DP]0[/DP].""","""The result is 1.44.""","""The result is 0.""","""The result is 0.""","""The result is 11.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]117.9242[/DP].""","""The result is [DP]0.0274[/DP]."""
21,How many rows have p3 equal to -0.628?,0.7715746304029494,"""The result is [DP]0[/DP].""","""The result is 0.14.""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0005[/DP].""","""The result is [DP]0.7221[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0162[/DP]."""
22,How many rows have p1 equal to 3.347?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 1.0.""","""The result is 8.27.""","""The result is 0.""","""The result is [DP]3.0879[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]1.2142[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
23,How many rows have tau1 greater than 8.473?,0.9181457884751146,"""The result is [DP]1608[/DP].""","""The result is 1608.81.""","""The result is 1608.0.""","""The result is 1602.55.""","""The result is 1614.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9912[/DP]."""
24,How many rows have g4 greater than 0.801?,0.8617224173568258,"""The result is [DP]2094[/DP].""","""The result is 2094.22.""","""The result is 2094.0.""","""The result is 2095.92.""","""The result is 2092.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]999.843[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9665[/DP]."""
25,How many rows have p2 less than -1.058?,0.45188719028566016,"""The result is [DP]6280[/DP].""","""The result is 6282.58.""","""The result is 6282.0.""","""The result is 6283.35.""","""The result is 6292.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9971[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]983.9543[/DP].""","""The result is [DP]999.9998[/DP]."""
26,How many rows have p4 greater than -0.945?,0.8993786248373329,"""The result is [DP]2966[/DP].""","""The result is 2966.17.""","""The result is 2968.0.""","""The result is 2956.1.""","""The result is 2973.0.""","""The result is [DP]999.9716[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9988[/DP].""","""The result is [DP]995.5348[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9887[/DP]."""
27,How many rows have p3 equal to -1.85?,1.0368546195518356,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 2.0.""","""The result is 2.35.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0007[/DP].""","""The result is [DP]996.2484[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
28,How many rows have g2 greater than 0.085?,0.9189598761607718,"""9632""","""9632""","""9632""","""9632""","""9632""","""998.641""","""0.0""","""999.9998""","""999.9998""","""0.0""","""1000.0"""
29,How many rows have p2 less than -1.254?,0.23211822891717815,"""The result is [DP]4974[/DP].""","""The result is 4974.73.""","""The result is 4974.0.""","""The result is 4941.18.""","""The result is 4981.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9998[/DP]."""
30,How many rows have tau3 equal to 4.046?,0.7715746304029494,"""The result is [DP]0[/DP].""","""The result is 1.42.""","""The result is 0.""","""The result is 4.97.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]624.602[/DP].""","""The result is [DP]817.548[/DP].""","""The result is [DP]0.0528[/DP]."""
31,How many rows have p1 equal to 3.552?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.99.""","""The result is 2.0.""","""The result is 3.89.""","""The result is 0.""","""The result is [DP]0.0004[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0296[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0056[/DP]."""
32,How many rows have g4 equal to 0.171?,1.0368546195518356,"""The result is [DP]0[/DP].""","""The result is 0.78.""","""The result is 0.""","""The result is 3.43.""","""The result is 0.""","""The result is [DP]870.4712[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0012[/DP].""","""The result is [DP]0.0437[/DP].""","""The result is [DP]385.8633[/DP].""","""The result is [DP]0.0075[/DP]."""
33,How many rows have p4 greater than -0.625?,0.5370197253372814,"""The result is [DP]833[/DP].""","""The result is 835.99.""","""The result is 833.0.""","""The result is 851.85.""","""The result is 840.0.""","""The result is [DP]0.5821[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]725.8247[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]832.2605[/DP].""","""The result is [DP]277.0746[/DP]."""
34,How many rows have tau2 equal to 1.094?,0.23211822891717815,"""The result is [DP]0[/DP].""","""The result is 2.23.""","""The result is 0.""","""The result is 24.55.""","""The result is 5.0.""","""The result is [DP]0.0013[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0009[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP]."""
35,How many rows have p1 equal to 4.204?,1.350541224549904,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0011[/DP].""","""The result is [DP]0.001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0036[/DP]."""
36,How many rows have p2 greater than -1.637?,0.4216476246561033,"""The result is [DP]7580[/DP].""","""The result is 7579.79.""","""The result is 7580.0.""","""The result is 7569.65.""","""The result is 7576.0.""","""The result is [DP]995.1497[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9995[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]576.5855[/DP].""","""The result is [DP]999.9728[/DP]."""
37,How many rows have g1 equal to 0.198?,0.21977188989255456,"""The result is [DP]0[/DP].""","""The result is 5.03.""","""The result is 0.""","""The result is 13.92.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0008[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0[/DP]."""
38,How many rows have tau4 equal to 6.863?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 4.41.""","""The result is 0.""","""The result is [DP]1.4191[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0034[/DP]."""
39,How many rows have tau3 equal to 6.897?,0.7715746304029494,"""0""","""0""","""0""","""0""","""0""","""0.0007""","""0.0""","""0.0018""","""0.1625""","""0.0""","""0.0076"""
40,How many rows have g4 greater than 0.632?,0.18273699254356746,"""The result is [DP]3874[/DP].""","""The result is 3866.71.""","""The result is 3875.0.""","""The result is 3891.44.""","""The result is 3912.0.""","""The result is [DP]999.8442[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9955[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9996[/DP]."""
41,How many rows have tau1 equal to 8.694?,0.45188719028566016,"""0""","""0""","""0""","""0""","""0""","""0.0""","""nan""","""0.0001""","""0.0""","""0.0""","""0.0073"""
42,How many rows have g2 less than 0.509?,0.21977188989255456,"""The result is [DP]4832[/DP].""","""The result is 4832.26.""","""The result is 4831.0.""","""The result is 4824.2.""","""The result is 4843.0.""","""The result is [DP]998.5589[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9913[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9968[/DP]."""
43,How many rows have p2 equal to -1.276?,0.45188719028566016,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 2.0.""","""The result is 5.83.""","""The result is 3.0.""","""The result is [DP]939.9006[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0006[/DP].""","""The result is [DP]0.003[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.001[/DP]."""
44,How many rows have tau1 equal to 3.756?,0.25312319302722175,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 16.18.""","""The result is 0.""","""The result is [DP]0.0151[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0422[/DP]."""
45,How many rows have tau4 less than 6.911?,0.45188719028566016,"""6748""","""6748""","""6748""","""6748""","""6748""","""1000.0""","""0.0""","""999.9999""","""1000.0""","""nan""","""999.9993"""
46,How many rows have tau2 less than 3.838?,0.18273699254356746,"""The result is [DP]3514[/DP].""","""The result is 3519.37.""","""The result is 3514.0.""","""The result is 3547.35.""","""The result is 3550.0.""","""The result is [DP]999.9999[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9994[/DP].""","""The result is [DP]875.9459[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9985[/DP]."""
47,How many rows have p1 less than 3.874?,0.9145856197269706,"""The result is [DP]5618[/DP].""","""The result is 5617.74.""","""The result is 5618.0.""","""The result is 5628.66.""","""The result is 5618.0.""","""The result is [DP]997.7543[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]999.6148[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9995[/DP]."""
48,How many rows have p1 equal to 3.372?,0.1,"""The result is [DP]0[/DP].""","""The result is 1.68.""","""The result is 0.""","""The result is 46.36.""","""The result is 54.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0005[/DP].""","""The result is [DP]988.1374[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0001[/DP]."""
49,How many rows have g4 greater than 0.649?,0.9181457884751146,"""The result is [DP]3695[/DP].""","""The result is 3697.11.""","""The result is 3696.0.""","""The result is 3699.79.""","""The result is 3678.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]4.9285[/DP].""","""The result is [DP]547.2193[/DP].""","""The result is [DP]999.9876[/DP]."""
50,How many rows have g3 equal to 0.651?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.6.""","""The result is 1.0.""","""The result is 1.71.""","""The result is 0.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]826.5428[/DP].""","""The result is [DP]0.0007[/DP].""","""The result is [DP]0.1398[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0002[/DP]."""
51,How many rows have p2 less than -0.873?,0.794007125837763,"""The result is [DP]7513[/DP].""","""The result is 7512.73.""","""The result is 7514.0.""","""The result is 7516.57.""","""The result is 7516.0.""","""The result is [DP]999.9494[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9782[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]866.7881[/DP].""","""The result is [DP]999.9996[/DP]."""
52,How many rows have g3 less than 0.378?,0.21977188989255456,"""The result is [DP]3453[/DP].""","""The result is 3439.95.""","""The result is 3453.0.""","""The result is 3459.66.""","""The result is 3448.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]923.1757[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]996.7715[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
53,How many rows have p3 equal to -1.251?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 3.3.""","""The result is 19.0.""","""The result is [DP]0.0002[/DP].""","""The result is [DP]971.6454[/DP].""","""The result is [DP]0.0008[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0001[/DP]."""
54,How many rows have tau3 less than 2.046?,0.21977188989255456,"""The result is [DP]1627[/DP].""","""The result is 1637.16.""","""The result is 1627.0.""","""The result is 1659.35.""","""The result is 1612.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9976[/DP].""","""The result is [DP]15.7048[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP]."""
55,How many rows have tau4 equal to 4.896?,0.21977188989255456,"""The result is [DP]0[/DP].""","""The result is 6.91.""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]797.7487[/DP].""","""The result is [DP]0.0004[/DP].""","""The result is [DP]16.1261[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0003[/DP]."""
56,How many rows have tau2 greater than 8.73?,0.918142078633442,"""The result is [DP]1337[/DP].""","""The result is 1337.3.""","""The result is 1337.0.""","""The result is 1327.58.""","""The result is 1344.0.""","""The result is [DP]999.9939[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9992[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]348.3754[/DP].""","""The result is [DP]999.9904[/DP]."""
57,How many rows have p1 greater than 4.405?,0.5370197253372814,"""The result is [DP]2029[/DP].""","""The result is 2029.16.""","""The result is 2029.0.""","""The result is 2025.65.""","""The result is 2039.0.""","""The result is [DP]999.9849[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9966[/DP].""","""The result is [DP]45.428[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP]."""
58,How many rows have tau1 equal to 5.798?,0.4216476246561033,"""The result is [DP]0[/DP].""","""The result is 0.08.""","""The result is 1.0.""","""The result is 0.""","""The result is 6.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]690.4346[/DP].""","""The result is [DP]0.001[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0013[/DP]."""
59,How many rows have tau2 less than 5.047?,0.7715746304029494,"""The result is [DP]4787[/DP].""","""The result is 4789.1.""","""The result is 4790.0.""","""The result is 4778.36.""","""The result is 4783.0.""","""The result is [DP]999.9997[/DP].""","""The result is [DP]629.5655[/DP].""","""The result is [DP]999.9852[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
60,How many rows have g2 greater than 0.468?,0.18273699254356746,"""The result is [DP]5600[/DP].""","""The result is 5592.82.""","""The result is 5600.0.""","""The result is 5622.56.""","""The result is 5597.0.""","""The result is [DP]999.9939[/DP].""","""The result is [DP]751.2421[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9841[/DP]."""
61,How many rows have p3 equal to -1.576?,1.1038400552956573,"""The result is [DP]0[/DP].""","""The result is 0.55.""","""The result is 8.0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]889.7076[/DP].""","""The result is [DP]0.0027[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0118[/DP]."""
62,How many rows have p4 greater than -1.874?,0.5226303807974494,"""9160""","""9160""","""9160""","""9160""","""9160""","""999.9983""","""0.0""","""999.9942""","""95.2258""","""0.0""","""999.9999"""
63,How many rows have p4 less than -1.18?,0.4216476246561033,"""The result is [DP]5467[/DP].""","""The result is 5464.63.""","""The result is 5467.0.""","""The result is 5457.31.""","""The result is 5474.0.""","""The result is [DP]999.9993[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9947[/DP].""","""The result is [DP]68.1804[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.996[/DP]."""
64,How many rows have p4 greater than -1.849?,0.9145856197269706,"""The result is [DP]8993[/DP].""","""The result is 8990.68.""","""The result is 8989.0.""","""The result is 8988.4.""","""The result is 8990.0.""","""The result is [DP]999.9996[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9984[/DP].""","""The result is [DP]999.9707[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9983[/DP]."""
65,How many rows have g4 equal to 0.421?,0.8617224173568258,"""The result is [DP]0[/DP].""","""The result is 2.65.""","""The result is 0.""","""The result is 0.""","""The result is 2.0.""","""The result is [DP]0.0136[/DP].""","""The result is [DP]833.5504[/DP].""","""The result is [DP]0.0394[/DP].""","""The result is [DP]497.12[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.001[/DP]."""
66,How many rows have g1 greater than 0.868?,0.794007125837763,"""1389""","""1389""","""1389""","""1389""","""1389""","""1000.0""","""0.0""","""999.9997""","""1000.0""","""897.9671""","""1000.0"""
67,How many rows have tau4 equal to 9.807?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 2.1.""","""The result is 3.0.""","""The result is 6.57.""","""The result is 8.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.005[/DP].""","""The result is [DP]0.0047[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0044[/DP]."""
68,How many rows have tau1 greater than 6.119?,0.8617224173568258,"""The result is [DP]4085[/DP].""","""The result is 4084.45.""","""The result is 4085.0.""","""The result is 4091.05.""","""The result is 4086.0.""","""The result is [DP]999.9982[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9996[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9995[/DP]."""
69,How many rows have tau3 greater than 6.356?,0.1,"""The result is [DP]3835[/DP].""","""The result is 3847.12.""","""The result is 3835.0.""","""The result is 3890.5.""","""The result is 3961.0.""","""The result is [DP]981.9458[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9995[/DP].""","""The result is [DP]2.9446[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9981[/DP]."""
70,How many rows have tau4 equal to 3.878?,0.9145856197269706,"""The result is [DP]0[/DP].""","""The result is 1.41.""","""The result is 2.0.""","""The result is 3.08.""","""The result is 0.""","""The result is [DP]1.4465[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0031[/DP]."""
71,How many rows have tau3 less than 1.452?,0.8617224173568258,"""The result is [DP]1002[/DP].""","""The result is 1000.82.""","""The result is 1002.0.""","""The result is 1002.04.""","""The result is 1002.0.""","""The result is [DP]999.9923[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.999[/DP].""","""The result is [DP]999.9636[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP]."""
72,How many rows have g4 less than 0.915?,1.350541224549904,"""The result is [DP]9106[/DP].""","""The result is 9107.11.""","""The result is 9101.0.""","""The result is 9110.64.""","""The result is 9101.0.""","""The result is [DP]109.3937[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9979[/DP].""","""The result is [DP]912.3659[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
